Date,Open,Close,High,Low,Volume
19-Nov-14,194.95,194.1,197.45,193.2,35349120
20-Nov-14,194.4,192.9,195.4,189.8,28720524
21-Nov-14,193.15,194.4,195.95,191.65,28962730
24-Nov-14,194.5,193.4,195.85,192.1,18407284
25-Nov-14,193.4,188.15,194.2,187.6,34678104
26-Nov-14,187.45,187.2,190.6,186.35,22820182
27-Nov-14,187.4,185.65,187.45,184.33,14269517
28-Nov-14,185.95,186.45,187.7,180.6,26262402
01-Dec-14,185.7,183.8,186.45,182.69,17641644
02-Dec-14,183.7,187.3,188.25,183.7,24994636
03-Dec-14,186.95,188.5,189.4,186.3,20761294
04-Dec-14,188.25,186.05,188.75,185.2,22390604
05-Dec-14,187,189.6,190.65,184.95,23951366
08-Dec-14,188.2,187.3,189.8,186.75,13682609
09-Dec-14,163.55,174.9,175,155.4,140723616
10-Dec-14,172.25,175.7,179.9,171.35,50348832
11-Dec-14,175.1,171.3,177.7,170.95,39198540
12-Dec-14,170,165.75,170.35,165.6,32931504
15-Dec-14,165,164.8,168.75,164.55,31343412
16-Dec-14,163,167.45,167.9,162.1,29872094
17-Dec-14,165.35,168.15,169.25,163.75,22711272
18-Dec-14,170.05,175.8,179.15,169,40043576
19-Dec-14,178.9,185.4,186.5,175.65,93368840
22-Dec-14,185.45,181,187.83,178.8,33721636
23-Dec-14,181.5,184.6,186.1,181.2,16910390
24-Dec-14,182.8,186,187.25,181.5,43587836
29-Dec-14,186.2,188.45,189.09,184.7,15520854
30-Dec-14,188.45,186.9,189.95,185.7,12117123
31-Dec-14,189.6,189,190.04,186.35,6537184
02-Jan-15,187.65,188,191.5,185.99,18333616
05-Jan-15,187.35,181.6,191.02,181.15,30561244
06-Jan-15,182.7,178.8,184.5,177.5,26787260
07-Jan-15,180.65,182,184.8,180.49,31141208
08-Jan-15,190.25,209.25,212.8,188.91,151707120
09-Jan-15,206,204.1,209.08,202.4,62853892
12-Jan-15,204.2,204.55,206.15,201.55,26938264
13-Jan-15,203.75,212,214.7,203.5,34594224
14-Jan-15,214,214,219.25,213.3,51936980
15-Jan-15,215.05,219.25,219.3,208.79,32584172
16-Jan-15,218.5,219.05,222.6,216.5,31554164
19-Jan-15,223.35,221.4,227.15,220.6,32268212
20-Jan-15,223.25,224.9,227.36,220.3,40018756
21-Jan-15,225.75,229,229.05,223.22,34643548
22-Jan-15,230,235.85,238.1,225.25,62913072
23-Jan-15,237.8,235.3,241.85,232.8,51008832
26-Jan-15,236.55,230,238.65,226.86,36124220
27-Jan-15,230,230.25,232.52,227.7,25555108
28-Jan-15,232.85,227.65,234.9,220.91,22294714
29-Jan-15,225.05,227,227.15,223.55,22502088
30-Jan-15,226.5,224.75,226.9,223.6,26929428
02-Feb-15,227,228.35,228.45,224.05,27193918
03-Feb-15,230,232.05,234.8,228.89,36674800
04-Feb-15,232.15,229.55,233.65,226.75,26953076
05-Feb-15,227.5,232.4,233.92,225.35,26246990
06-Feb-15,231.65,228.7,233.2,227.96,18773876
09-Feb-15,226.55,233.4,233.5,226.45,30066672
10-Feb-15,234,241.85,241.85,230.35,47431700
11-Feb-15,241.95,242.4,242.4,238.5,23266756
12-Feb-15,241.9,243.5,246.16,241.05,25234368
13-Feb-15,242.5,241.6,243.6,239.5,23929710
16-Feb-15,241.2,242.4,243.55,240.9,10923397
17-Feb-15,243.8,244.35,246.8,242.45,24286520
18-Feb-15,244.05,242.7,247.6,242.25,26851868
19-Feb-15,242.95,239.95,243.6,238.65,23162488
20-Feb-15,237.8,240.6,240.9,237.8,19400652
23-Feb-15,241.95,240.4,242.8,238.15,15219088
24-Feb-15,241.5,238.4,241.63,236.75,19998284
25-Feb-15,238.55,240.9,242.86,238.33,20908332
26-Feb-15,240.65,246,246.35,240.1,25260788
27-Feb-15,246,245.4,247.28,244.45,26779714
02-Mar-15,244.95,246.7,247,244.45,18094112
03-Mar-15,246.75,244.95,248.5,244.65,19523564
